Date,Price
2024-04-19,16.85
2024-04-18,16.39
2024-04-17,17.04
2024-04-16,18.02
2024-04-15,17.22
2024-04-12,17.47
2024-04-11,15.55
2024-04-10,14.9
2024-04-09,15.38
2024-04-08,14.49
2024-04-05,14.89
2024-04-04,13.14
2024-04-03,13.68
2024-04-02,14.28
2024-03-28,12.77
2024-03-27,12.31
2024-03-26,12.03
2024-03-25,11.82
2024-03-22,11.65
2024-03-21,11.35
2024-03-20,12.11
2024-03-19,12.35
2024-03-18,12.75
2024-03-15,12.54
2024-03-14,12.86
2024-03-13,12.63
2024-03-12,12.9
2024-03-11,13.83
2024-03-08,12.99
2024-03-07,13.33
2024-03-06,13.66
2024-03-05,13.74
2024-03-04,13.1
2024-03-01,12.92
2024-02-29,12.88
2024-02-28,12.88
2024-02-27,12.55
2024-02-26,12.65
2024-02-23,12.75
2024-02-22,13.07
2024-02-21,13.56
2024-02-20,13.36
2024-02-19,13.45
2024-02-16,13.64
2024-02-15,13.76
2024-02-14,13.77
2024-02-13,14.19
2024-02-12,13.94
2024-02-09,13.76
2024-02-08,13.36
2024-02-07,13.32
2024-02-06,13.09
2024-02-05,13.79
2024-02-02,13.5
2024-02-01,14.14
2024-01-31,14.16
2024-01-30,13.67
2024-01-29,13.48
2024-01-26,13.14
2024-01-25,13.1
2024-01-24,13.05
2024-01-23,13.28
2024-01-22,13.56
2024-01-19,13.97
2024-01-18,14.27
2024-01-17,14.91
2024-01-16,14.09
2024-01-15,13.94
2024-01-12,13.24
2024-01-11,13.61
2024-01-10,13.2
2024-01-09,13.59
2024-01-08,14.05
2024-01-05,14.28
2024-01-04,14.57
2024-01-03,15.38
2024-01-02,14.47
2023-12-29,13.53
2023-12-28,13.48
2023-12-27,13.5
2023-12-22,13.25
2023-12-21,13.41
2023-12-20,12.76
2023-12-19,12.77
2023-12-18,13
2023-12-15,12.63
2023-12-14,12.93
2023-12-13,13.51
2023-12-12,13.35
2023-12-11,13.73
2023-12-08,13.73
2023-12-07,14.07
2023-12-06,13.66
2023-12-05,13.62
2023-12-04,13.68
2023-12-01,13.12
2023-11-30,13.28
2023-11-29,13.52
2023-11-28,13.52
2023-11-27,13.5
2023-11-24,12.95
2023-11-23,13.13
2023-11-22,13.05
2023-11-21,13.39
2023-11-20,13.34
2023-11-17,13.12
2023-11-16,13.87
2023-11-15,14.09
2023-11-14,14.39
2023-11-13,15.11
2023-11-10,15.31
2023-11-09,15.07
2023-11-08,15.35
2023-11-07,15.81
2023-11-06,16.22
2023-11-03,16.32
2023-11-02,17.21
2023-11-01,18.05
2023-10-31,18.87
2023-10-30,20.01
2023-10-27,19.88
2023-10-26,20.17
2023-10-25,19.24
2023-10-24,19.48
2023-10-23,20.38
2023-10-20,21.48
2023-10-19,20.64
2023-10-18,20.19
2023-10-17,18.81
2023-10-16,18.89
2023-10-13,19.33
2023-10-12,16.64
2023-10-11,16.99
2023-10-10,17.75
2023-10-09,19.37
2023-10-06,17.51
2023-10-05,18.58
2023-10-04,19.07
2023-10-03,19.03
2023-10-02,17.95
2023-09-29,16.58
2023-09-28,17.62
2023-09-27,18.31
2023-09-26,18.65
2023-09-25,17.9
2023-09-22,15.89
2023-09-21,15.79
2023-09-20,14.53
2023-09-19,15.34
2023-09-18,15.17
2023-09-15,13.6
2023-09-14,13.8
2023-09-13,15.57
2023-09-12,15.27
2023-09-11,15
2023-09-08,15.3
2023-09-07,15.66
2023-09-06,15.46
2023-09-05,15.03
2023-09-04,15.14
2023-09-01,14.49
2023-08-31,14.47
2023-08-30,14.98
2023-08-29,15.12
2023-08-28,16
2023-08-25,16.83
2023-08-24,17.23
2023-08-23,17.03
2023-08-22,17.47
2023-08-21,18.4
2023-08-18,19.07
2023-08-17,18.79
2023-08-16,17.67
2023-08-15,18.03
2023-08-14,17.32
2023-08-11,17.81
2023-08-10,17.51
2023-08-09,18.35
2023-08-08,18.78
2023-08-07,18
